DealID,Company,InvestorFund,Deal Size Status,DealDate,DealType,DealType2,DealType3,DealSize,Post Valuation,DealSynopsis,DealStatus,Financing Status,Business Status,Investors,PrimaryIndustry,Verticals,Description,HQ Location,Company_norm,IsEntry,IsExit
272129-95T,TI Fluid Systems,Apollo Investment Fund IX(Apollo Asset Management),Actual,2025-04-15,Buyout/LBO,Add-on,Public to Private,2331.28,2331.28,"The company was acquired by ABC Technologies, via its financial sponsors Apollo Global Management and Brookfield Oaktree Holdings, through a GBP 1.8 billion public-to-private LBO on April 15, 2025.",Completed,Private Equity-Backed,Profitable,"ABC Technologies(Terry Campbell), Apollo Asset Management (NYS: APO)(Michael Reiss), Brookfield Oaktree Holdings",Road,Manufacturing,"TI Fluid Systems PLC is engaged in providing automotive fluid storage, carrying, and delivery systems for the light-duty automotive market. The operating segments of the company are fluid-carrying systems and fuel tank delivery systems. The fluid-carrying systems include brake and fuel lines and bundles, tank top lines, vacuum booster lines, quick connectors, air conditioning tubes, and hose assemblies, accumulators and receiver dryers, and thermal products and powertrain components. The fuel tank and delivery systems include fuel tanks, fuel pumps, level sensors, and additive dosing systems. Its geographical segments are Europe and Africa, Asia Pacific, North America, and Latin America.","Auburn Hills, MI",ti fluid systems,True,False
246594-70T,A Place for Rover,,Actual,2024-02-27,Buyout/LBO,Public to Private,,2300.0,2350.0,"The company was acquired by Blackstone through an estimated $2.3 billion public-to-private LBO on February 27, 2024. The transaction was supported by $325 million of debt financing. True Wind participated in the round.",Completed,Private Equity-Backed,Profitable,Blackstone (NYS: BX)(Sachin Bavishi),Other Services (B2C Non-Financial),Pet Technology,"Rover Group Inc is an online marketplace for pet care based on gross booking value. The company connects pet parents with pet care providers who offer overnight services, including boarding and in-home pet sitting, as well as daytime services, including doggy daycare, dog walking, and drop-in visits. The user-based platform extends across the U.S., Canada, the U.K., Spain, France, Norway, Sweden, Netherlands, Italy and Germany. For pet care providers, the company built tools to easily create a listing in the marketplace along with simple tools for scheduling and booking care, communicating with pet parents, and receiving payment. The company generates revenue from facilitating the connection between pet care providers and pet parents.","Olympia, WA",a place for rover,True,False
100821-88T,Ply Gem Industries,"Clayton, Dubilier & Rice Fund X(Clayton, Dubilier & Rice)",Actual,2018-04-12,Buyout/LBO,Secondary Buyout,Public to Private,2241.83,2241.83,"The company was acquired through a $2241.83 million LBO on April, 12 2018. The transaction was supported by $2525 million of debt financing. The funds were used to support acquisition of Atrium Windows and Doors.",Completed,Private Equity-Backed,Profitable,"Clayton, Dubilier & Rice(John Krenicki)",Building Products,"Industrials, Manufacturing","Manufacturer of a comprehensive product line of windows and patio doors intended to serve residential builders, remodelers, and architects throughout North America. The company offers vinyl and aluminum siding and accessories, designer accents, cellular PVC trim and moldings, vinyl fencing and railing, stone veneer, roofing and gutterware products, enabling customers to use them in new construction as well as for home repair and remodeling purposes.","Cary, NC",ply gem industries,True,False
20909-71T,AboveNet,"Battery Ventures VIII(Battery Ventures), Centennial Entrepreneurs Fund VII(Centennial Ventures), Charlesbank Equity Fund VI(Charlesbank Capital Partners), Columbia Capital Equity Partners IV(Columbia Capital), GTCR Fund IX(GTCR), M/C Venture Partners VI(M/C Partners), Morgan Stanley Global Distressed Opportunities(Morgan Stanley Investment Management), Oak Investment Partners XI(Oak Investment Partners)",Actual,2012-07-02,Buyout/LBO,Add-on,Public to Private,2212.49,2212.49,"The company was acquired by Zayo Group, via its financial sponsors Charlesbank Capital Partners, Morgan Stanley Alternative Investment Partners, Battery Ventures, Centennial Ventures, Columbia Capital, M/C Venture Partners, Greenspring Associates, Columbia Capital and Oak Investment Partners, through a $2.21 billion LBO public-to-private on July 2, 2012.",Completed,Private Equity-Backed,Profitable,"Battery Ventures, Centennial Ventures(Rand Lewis), Charlesbank Capital Partners(Michael Choe), Columbia Capital(John Siegel), Greenspring Associates, GTCR(Philip Canfield), M/C Partners(Gillis Cashman), Morgan Stanley Investment Management, Oak Investment Partners(John Downer), Zayo Group",Internet Service Providers,TMT,"Provider of high-bandwidth connectivity services for business and carriers primarily in the United States and the United Kingdom. The company offers communications infrastructure and global Internet protocol (IP) network to various companies, such as commercial banks, brokerage houses, insurance companies, investment banks, media companies, social networking companies, Web-centric companies, law firms and medical and health care institutions.","White Plains, NY",abovenet,True,False
280620-82T,Altus Power,TPG Rise Climate Fund(The Rise Fund),Actual,2025-04-16,Buyout/LBO,Public to Private,,2200.0,2200.0,"The company was acquired by The Rise Fund through a $2.2 billion public-to-private LBO on April 16, 2025. Under the terms of the transaction, Altus Power stockholders will receive $5.00 in cash, without interest and minus any applicable withholding taxes, for each share of Altus Power Class A common stock owned immediately prior to the closing of the transaction. The transaction was supported by $300 million of debt financing.",Completed,Private Equity-Backed,Generating Revenue,The Rise Fund(Scott Lebovitz),Energy Production,"CleanTech, LOHAS & Wellness","Altus Power Inc is a developer, owner, and operator of large-scale photovoltaic and energy storage systems across the United States. The company serves commercial, industrial, public sector, and community solar customers. Its mission is to drive the clean energy transition by developing and operating solar generation and energy storage facilities. It owns a diverse portfolio of solar PV systems and has long-term agreements with enterprise entities and residential customers. Its primary product offerings include leases and revenue contracts for solar power generation, alongside electric vehicle charging and energy storage solutions. Revenue streams include power purchase agreements, net metering credit agreements, and SREC revenue.","Stamford, CT",altus power,True,False
288086-23T,AvidXchange Holdings (NAS: AVDX),,Actual,2025-05-06,Buyout/LBO,Public to Private,,2200.0,2200.0,"The company entered into a definitive agreement to be acquired by Corpay and TPG through a $2.2 billion public-to-private LBO on May 6, 2025. As a part of the deal, Corpay will acquire a 33% stake, and TPG will acquire the remaining stake in the company. The transaction was supported by $500 million of debt financing.",Announced/In Progress,Formerly VC-backed,Profitable,"Corpay (NYS: CPAY)(Ronald Clarke), TPG (NAS: TPG)(John Flynn)",Financial Software,"B2B Payments, FinTech, TMT",AvidXchange Holdings Inc is a provider of AP automation software and payment solutions for middle-market businesses and their suppliers. It generates the majority of its sales from Payment revenue followed by Software revenue and Services revenue. The company generates revenue in the United States.,"Charlotte, NC",avidxchange holdings (nas: avdx),True,False
69477-58T,ExamWorks,"Green Equity Investors VII(Leonard Green & Partners), Singapore Early Stage Co-Investment Fund(GIC Private)",Actual,2016-07-27,Buyout/LBO,Public to Private,,2200.0,2200.0,"The company was acquired by Leonard Green & Partners, Crescent Capital BDC and GIC through a $2.2 billion public-to-private LBO on July 27, 2016. The transaction was supported by $925 million of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"Crescent Capital Group, GIC Private, Leonard Green & Partners(John Baumer)",Other Commercial Services,TMT,"Provider of independent medical evaluation (IME) services catering to property and casualty insurance carriers, law firms, third-party claim administrators, and government agencies. The company offers a range of services such as independent medical examination, peer review, case management, document management, and more, enabling clients to manage costs and enhance their risk management processes by verifying the validity of claims, identifying fraud, and providing proactive IME services.","Atlanta, GA",examworks,True,False
17283-34T,Novell,"Blum Strategic Partners IV(Blum Capital Partners), Francisco Partners(Francisco Partners), Golden Gate Capital Fund I(Golden Gate Capital), Thoma Bravo Fund IX(Thoma Bravo)",Actual,2011-04-27,Buyout/LBO,Add-on,Public to Private,2200.0,2200.0,"The company (NASDAQ: NOVL) was acquired by Attachmate, via its financial sponsors Francisco Partners, Golden Gate Capital and Thoma Bravo, for $2.2 billion on April 27, 2011. Attachmate acquired the company for $6.10 per share in cash. As part of the deal, hedge fund firm Elliott Management received an equity stake in Attachmate. Elliott was one of the largest shareholders in Novell prior to the transaction and offered to buy the company in March 2010 for $2 billion. Bob Flynn of Attachmate was named President and General Manager of the Novell unit. Novell unit moved to Provo as its headquarter. Novell now operates as two separate business units under the Novell and SUSE names. Novell's shares ceased trading on the Nasdaq stock exchange.",Completed,Private Equity-Backed,Profitable,"Blum Capital Partners, Elliott Investment Management, Francisco Partners, Golden Gate Capital, The Attachmate Group(Jeffrey Hawn), Thoma Bravo(Scott Crabill)",Application Software,TMT,"Designer of enterprise and networking software products intended to help their customers get more value from information technology investment. The company offers an interoperable Linux platform and a portfolio of integrated IT management software that helps customers worldwide reduce cost, complexity, and risk. It also has strategic partnerships with application providers, hardware and software vendors, distributors and re-sellers, consultants, and system integrators.","Waltham, MA",novell,True,False
27119-17T,Premier Brands Group Holdings,Sycamore Partners I(Sycamore Partners Management),Actual,2014-04-09,Buyout/LBO,Public to Private,,2200.0,2200.0,"The company was acquired through a $2200 million LBO on April, 9 2014. The transaction was supported by $445 million of debt financing.",Completed,Private Equity-Backed,Profitable,Sycamore Partners Management(Stefan Kaluzny),Internet Retail,E-Commerce,"Operator of shoe, handbag and accessories brands intended for women. The company offers a range of products, including heels, sneakers, flats, handbags, watches and mules through an online platform, thereby ensuring its customers get their fashion products as per trends.","Greenwich, CT",premier brands group holdings,True,False
122066-56T,Presidio,,Actual,2019-12-19,Buyout/LBO,Public to Private,,2200.0,2200.0,"The company was acquired by BC Partners through a $2.2 billion public-to-private LBO on December 19, 2019. The company was supported by $1.5 billion in debt financing.",Completed,Private Equity-Backed,Profitable,BC Partners(Raymond Svider),IT Consulting and Outsourcing,,"Provider of information technology professional and managed services intended to accelerate business transformation through secure technology modernization. The company offers services catering to the design, implementation, and management of secure digital platforms through expertise across data, applications, infrastructure, user experience, and operations for healthcare, media and entertainment, retail and manufacturing as well as energy sectors, helping clients to move their businesses at a faster pace and innovate the way they interact with their customers, employees, and partners.","New York, NY",presidio,True,False
10079-38T,Financial Guaranty Insurance Company,"Blackstone Real Estate Partners International(Blackstone), CIVC Partners Fund III(CIVC Partners), Cypress Merchant Banking Partners II(The Cypress Group)",Actual,2003-12-18,Buyout/LBO,Public to Private,,2180.0,2295.0,"FGIC Corporation, will issue approximately $245,000,000 of senior debt as part of its permanent capital structure. Total invested equity included $1,934,100,000 of (equity - 1439.1, con pref sh - 235, dividend - 260. The ownership stakes were such: PMI 42%, Blackstone 23%, Cypress 23%, CIVC 7%, and GE 5%. PMI Group invested approximately $607,000,000 in return for its stake, which it funded through $300,000,000 in cash, the sale of approximately $100,000,000 of common equity and approximately $207,000,000 of equity-related securities. Subsequently, PMI Group sold its stake in the company on July 30, 2010 to an undisclosed investor. Subsequently, the company files for Chapter 11 Bankruptcy on August 4, 2010. The Chapter 11 filing would enable the company to deleverage its balance sheet and restructure more than $300 million of debt. The Company has hired Kirkland & Ellis to assist in its restructuring efforts. Wiegers Capital Partners also participated.",Completed,Private Equity-Backed,Profitable,"Blackstone (NYS: BX), CIVC Partners, PMI Mortgage Insurance (PINX: PMIR), The Cypress Group(Michael Finley), Wiegers Capital Management",Re-Insurance,,"Provider of financial guaranty insurance and reinsurance services to the domestic and international bond markets. The company provides triple-A credit enhancement on public finance, structured finance, and asset-backed securities, enabling bond issuers to obtain capital cost and offering access to the capital markets.","New York, NY",financial guaranty insurance company,True,False
67700-44T,Coinstar Asset Holdings,Apollo European Principal Finance Fund II(Apollo Asset Management),Actual,2016-09-27,Buyout/LBO,Public to Private,,2150.0,2150.0,"The company was acquired by Apollo Global Management through a $2.15 billion public-to-private LBO on September 27, 2016.",Completed,Private Equity-Backed,Generating Revenue,Apollo Asset Management (NYS: APO)(David Sambur),Other Hardware,FinTech,"Operator of a chain of self-service coin-cashing kiosks in North America, Europe and Japan. The company offers conversion of loose change into paper currency, donations and gift cards at supermarkets, mass merchants, drug stores and financial institution kiosk locations, enabling lead generation on the interactive kiosk screen and a flexible digital advertising platform that sits atop kiosks.","Bellevue, WA",coinstar asset holdings,True,False
17167-51T,Capita Corporation,Terra Firma Capital Partners I(Terra Firma Capital Partners),Actual,1996-10-01,Buyout/LBO,Public to Private,,2128.6,2128.6,"A management-led investor group, including GRS Holding and Babcok & Brown, acquired all the outstanding common stock of AT&T Capital (AC), an 86%-owned unit of AT&T, for $45 in cash per share, or a total value of $2.129 billion, in a leveraged buyout transaction. In September 1995, AT&T announced that it was seeking a buyer for its 86% interest in AC. Concurrently, AT&T spun off its 82.54% interest in Lucent Technology. Also, AT&T planned to spin off its NCR unit to shareholders. Equifin Capital also participated in this round.",Completed,Private Equity-Backed,Profitable,"Equifin Capital, Terra Firma Capital Partners (ZAG: TRFM)",Other Financial Services,,"Provider of commercial financing and leasing products to small and middle market companies worldwide. The company lease and finance a variety of equipment, including telecommunications equipment, such as private branch exchanges, telephone systems, and voice processing units; information technology, such as personal computers, retail point-of-sale systems, and automated teller machines; general office, manufacturing, and medical equipment; and transportation equipment. It also finance real estate, including real estate related loans in the company's small business administration lending and franchise finance businesses.","Morristown, NJ",capita corporation,True,False
68600-17T,AMLI Residential,Morgan Stanley Real Estate Prime Property Fund(Morgan Stanley Real Estate Investing),Actual,2006-02-07,Buyout/LBO,Public to Private,,2100.0,2100.0,"The company was acquired by Morgan Stanley Real Estate Investing through a $2.1 billion public-to-private LBO on February 7, 2006.",Completed,Private Equity-Backed,Generating Revenue,Morgan Stanley Real Estate Investing(Dave Hardman),Real Estate Services (B2C),,"Provider of real estate services focused on the development and management of upscale apartment communities. The company offers premium residential living experiences, enabling residents to enjoy amenities and exceptional service.","Atlanta, GA",amli residential,True,False
171956-98T,Ferro,American Securities Partners VIII(American Securities),Actual,2022-04-21,Buyout/LBO,Add-on,Public to Private,2100.0,2100.0,"The company was acquired by Prince, via its financial sponsor American Securities, through a $2.1 billion public-to-private LBO on April 21, 2022.",Completed,Private Equity-Backed,Profitable,"American Securities(Scott Wolff), Vibrantz Technologies(D. Michael Wilson)",Multi-line Chemicals,Manufacturing,"Ferro Corp produces specialty materials sold to manufacturers in various industries. The company operates in two segments: functional coatings and color solutions. Its product portfolio includes frits, porcelain and other glass enamels, glazes, stains, decorating colors, pigments, inks, polishing materials, dielectrics, electronic glasses, and other specialty coatings. The functional coatings segment contributes the majority of the company's revenue. Ferro's products have applications in various markets such as electronics, appliances, automotive, consumer, sanitary, and packaging. Its geographical segments are Europe, the Middle East, and Africa; the United States; Asia-Pacific; and Latin America. EMEA generates the most revenue, closely followed by the U.S.","Mayfield Heights, OH",ferro,True,False
10189-09T,Guitar Center,Bain Capital Fund IX(Bain Capital),Estimated,2007-07-03,Buyout/LBO,Secondary Buyout,Public to Private,2100.0,2100.0,"The company was acquired by Bain Capital and Highland Consumer Partners through an estimated $2.1 billion public-to-private LBO on July 3, 2007. The transaction was supoorted by $2100 million of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"Bain Capital(Jordan Hitch), Highland Consumer Partners",Specialty Retail,,"Retailer of musical instruments intended to make them more easily accessible to people. The company offers a wide selection of guitars, basses, keyboards, drums and percussion as well as offers studio gear, live sound and lighting equipment, enabling clients to get products from leading brands and low prices.","Westlake Village, CA",guitar center,True,False
200569-42T,Billtrust,EQT X(EQT),Estimated,2022-12-15,Buyout/LBO,Public to Private,,2075.0,2075.0,"The company was acquired by EQT through an estimated $2.075 billion LBO on December 15, 2022. The transaction was supported by $479.43 million of debt financing.",Completed,Private Equity-Backed,Generating Revenue,EQT (STO: EQT)(Arvindh Kumar),Financial Software,"B2B Payments, FinTech, SaaS","Developer of cloud-based accounts receivable (AR) platform offering order-to-cash services intended to digitally transform accounts receivable and B2B payment processes. The company's order-to-cash cycle encompasses the entire process from receiving an order for goods or services to receiving payment for those goods or services, thereby helping clients streamline and accelerate this cycle, leading to faster payment processing and improved cash flow for businesses.","Hamilton, NJ",billtrust,True,False
126300-52T,Instructure,Thoma Bravo Discover Fund(Thoma Bravo),,2020-03-23,Buyout/LBO,Public to Private,Management Buyout,2063.41,2063.41,"The company (NYSE: INST) was acquired by Thoma Bravo and its management through a $2 billion LBO on March 23, 2020 through a public-to-private. A total of 24,828,913 shares had been validly tendered and not withdrawn from the tender offer, representing approximately 64.4% of the aggregate voting power of the company's outstanding shares of common stock. The second-step merger is in which the remaining shares of the company's common stock will be converted into the right to receive an amount in cash equal to the per-share price paid in the tender offer, without interest and less any required withholding taxes. The transaction was supported by $863.401 million of debt financing.",Completed,Private Equity-Backed,Profitable,Thoma Bravo(Holden Spaht),Educational Software,SaaS,"Instructure Holdings Inc is an education technology company dedicated towards helping everyone learn together. it amplify the power of teaching and elevate the learning process, directing to improved student outcomes. The company's learning platform is an open, extendable, configurable, and highly integrated set of solutions designed to meet the teaching and learning needs of every K-12, Higher Education and Continuing Education institution and includes the Canvas LMS, Canvas Studio, Canvas Catalog, Mastery Assessment, Canvas Credentials, Canvas Student Pathways, Canvas Network, Impact, Elevate Data Sync, Elevate Data Quality, Elevate Standards Alignment. They operate in a single operating segment which is cloud-based learning management, assessment and performance systems.","Salt Lake City, UT",instructure,True,False
243354-61T,Consolidated Communications,,Estimated,2024-12-27,Buyout/LBO,Public to Private,,2046.0,3100.0,"The company was acquired by Searchlight Capital Partners, WaveDivision Capital, and British Columbia Investment Management through an estimated $2.05 billion public-to-private LBO on December 27, 2024. The transaction values the company at $3.1 billion. The transaction was supported by $80 million of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"British Columbia Investment Management, Searchlight Capital Partners(Andrew Frey), WaveDivision Capital",Telecommunications Service Providers,TMT,"Consolidated Communications Holdings Inc provides communication services for business and residential customers across various states in the U.S. Its business product suite includes data and Internet solutions, voice, data center services, security services, managed and IT services, and an expanded suite of cloud services. It provides wholesale solutions to wireless and wireline carriers and other service providers including data, voice, network connections, and custom fiber builds and last-mile connections. It offers residential high-speed Internet, video, phone, and home security services as well as multi-service residential and small business bundles.","Mattoon, IL",consolidated communications,True,False
10844-83T,Mark IV Industries,BC European Capital VII(BC Partners),Actual,2000-09-14,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company was acquired by BC Partners and Ontario Teachers' Pension Plan through a $2 billion public-to-private LBO on September 14, 2000. The transaction was supported by $1.17 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"BC Partners(Michel Guillet), Ontario Teachers' Pension Plan",Road,"Industrials, Manufacturing","Manufacturer of advanced systems designed to enhance vehicular operation and information dissemination. The company offers precision-engineered components and sophisticated display interfaces, enabling global automotive manufacturers and transportation sectors, enhanced performance and streamlined communication.","Amherst, NY",mark iv industries,True,False
304066-54T,MeridianLink (NYS: MLNK),,Actual,2025-08-11,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company entered into a definitive agreement to be acquired by Centerbridge Partners through a $2 billion public-to-private LBO on August 11, 2025.",Announced/In Progress,Pending Transaction (PE),Generating Revenue/Not Profitable,Centerbridge Partners(Jared Hendricks),Financial Software,FinTech,"MeridianLink Inc is a cloud-based software solution for financial institutions, including banks, credit unions, mortgage lenders, specialty lending providers, and consumer reporting agencies. It generates maximum revenue from Lending Software Solutions.","Costa Mesa, CA",meridianlink (nys: mlnk),True,False
293816-26T,Olo (NYS: OLO),,Actual,2025-07-03,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company entered into a definitive agreement to be acquired by Thoma Bravo through a $2 billion public-to-private LBO on July 3, 2025.",Announced/In Progress,Pending Transaction (PE),Generating Revenue,Thoma Bravo(Peter Hernandez),"Other Restaurants, Hotels and Leisure","FoodTech, Mobility Tech, Restaurant Technology, SaaS, Supply Chain Tech","Olo Inc is an open Software as a Service platform for restaurants. Its platform powers restaurant brands' on-demand digital commerce operations, enabling digital ordering, delivery, front-of-house management, and payments, while further strengthening and enhancing restaurants' direct guest relationships. The company generates revenue from providing its customers access to its platform.","New York, NY",olo (nys: olo),True,False
21378-52T,Payless Shoesource,"Blum Strategic Partners IV(Blum Capital Partners), Golden Gate Capital Opportunity Fund(Golden Gate Capital)",Estimated,2012-10-09,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company was acquired through a $2000 million LBO on October, 9 2012.",Completed,Private Equity-Backed,Generating Revenue,"Blum Capital Partners(David Chung), Golden Gate Capital(Joshua Olshansky), Wolverine World Wide (NYS: WWW)",Specialty Retail,,"Retailer and wholesaler of footwear and related accessories based in Lawrence, Kansas. The company's focus lies in supplying a trend-right and comprehensive range of everyday and special occasion and discounted footwear and accessories for kids and adults.","Lawrence, KS",payless shoesource,True,False
175301-29T,QAD,"Golub Capital BDC(Golub Capital), Golub Capital BDC 3(Golub Capital), Thoma Bravo Fund XIII(Thoma Bravo)",Actual,2021-11-05,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company was acquired by Thoma Bravo and Golub Capital through a $2 billion public-to-private LBO on November 5, 2021. The transaction was supported by $258.31 million of debt financing.",Completed,Private Equity-Backed,Profitable,"Golub Capital, Thoma Bravo(Scott Crabill)",Business/Productivity Software,TMT,"Developer of flexible, cloud-based and on-premise enterprise software intended for global manufacturing companies across automotive, life sciences, consumer products, food and beverage and high-tech and industrial manufacturing industries. The company offers a wide range of services including enterprise resource planning (ERP), demand and supply chain planning (DSCP), global trade and transportation execution (GTTE) and quality management system (QMS), thereby helping clients rapidly adapt to change and innovate for competitive advantage.","Santa Barbara, CA",qad,True,False
48282-13T,ShopCore Properties,Blackstone Property Partners International(Blackstone),Actual,2015-07-31,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company was acquired by Blackstone through a $2 billion public-to-private LBO on July 31, 2015. Each of the company's common stock received $15.85, all outstanding shares of the Company's Series A preferred stock were redeemed for $28.8993 per share and all outstanding shares of the Company's Series B preferred stock will be redeemed for $25.0846 per share in cash.",Completed,Private Equity-Backed,Generating Revenue,Blackstone (NYS: BX),Buildings and Property,,"Operator of a real estate investment trust. The company engages in financing, developing, leasing, owning, and managing community and power centers, grocery-anchored neighborhood centers, and freestanding retail properties, helping clients to improve operational efficiency, reduce environmental footprint and benefit the communities.","Chicago, IL",shopcore properties,True,False
155933-47T,Virtusa,Baring Asia Private Equity Fund VII(EQT Private Capital Asia),Actual,2021-02-11,Buyout/LBO,Public to Private,,2000.0,2000.0,"The company was acquired by BPEA EQT, CPP Investments and GIC through a $2 billion public-to-private LBO on February 11, 2021. The transaction was supported by $1.03 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"CPP Investments(Prakul Kaushiva), EQT Private Capital Asia(Jimmy Mahtani), GIC Private",IT Consulting and Outsourcing,,"Provider of business consulting and IT outsourcing services intended to offer digital business assistance. The company's services include IT assessment and planning, network architecture and design and governance-related services, enabling clients to grow their business by introducing innovative products and services, developing distinctive digital consumer experiences, creating operational efficiency using digital labor, developing operational and IT platforms for the future and rationalizing and modernizing their existing IT applications infrastructure.","Southborough, MA",virtusa,True,False
10582-48T,Cellular One,"Generation Capital Partners(Generation Partners), HarbourVest Zebra 1(HarbourVest Partners), Information Associates I(Trident Capital), Providence Equity Partners(Providence Equity Partners), Sandler Capital Partners IV(Sandler Capital Management), SG Merchant Banking Fund(Ramius), Spectrum Equity Investors I(Spectrum Equity)",Actual,1998-03-23,Buyout/LBO,Secondary Buyout,Public to Private,1965.0,1965.0,"The company was acquired through a $1965 million LBO on March, 23 1998.",Completed,Private Equity-Backed,Profitable,"Arcade Partners, BofA Securities, Generation Partners, HarbourVest Partners, LLM Capital Partners, Northleaf Capital Partners, Providence Equity Partners, Ramius, Sandler Capital Management, SG Capital, Spectrum Equity, Tandem Wireless Investments, Trident Capital",Telecommunications Service Providers,TMT,"Provider of wireless communications services across the United States. The company offers digital voice and other feature services to its customers through its networks and also offers various custom calling features, including voice mail, call forwarding, call waiting, three-way calling, no answer transfer as well as roaming services, helping users with smooth connectivity.",NV,cellular one,True,False
88701-40T,Curia,GTCR Fund XII(GTCR),Actual,2017-08-31,Buyout/LBO,Public to Private,,1955.0,1955.0,"The company was acquired by The Carlyle Group, GTCR and HarbourVest Partners through a public-to-private $1.96 billion LBO on August 31, 2017.",Completed,Private Equity-Backed,Profitable,"GTCR(Constantine Mihas), HarbourVest Partners(Matthew Cheng), The Carlyle Group (NAS: CG)(Stephen Wise)",BPO/Outsource Services,"Life Sciences, Manufacturing","Provider of contract research and manufacturing services intended to improve patient outcomes and the quality of life. The company offers drug discovery solutions, drug development solutions, analytical services and manufacturing solutions to pharmaceutical and biotechnology industries, enabling them to solve complex scientific challenges to make patients' lives better.","Albany, NY",curia,True,False
102188-98T,Ezurio,,,2018-07-01,Buyout/LBO,Public to Private,,1952.24,1952.24,"The company was acquired by Advent International through a public-to-private GBP 1.47 billion LBO on July, 1 2018. The transaction was supported by GBP 826.94 million of debt financing.",Completed,Private Equity-Backed,Generating Revenue,Advent International(Shonnel Malani),Wireless Communications Equipment,"Internet of Things, Manufacturing","Manufacturer of wireless modules, internal antenna, and custom wireless tools intended for electromagnetic integrity, thermal performance, and connectivity. The company operates two segments, namely wireless systems, which make smart systems for specialized industrial applications, as well as performance materials, which protect a wide range of electronics, ensuring its clients reduce development costs and time to market.","Akron, OH",ezurio,True,False
274022-74T,The Duckhorn Portfolio,,,2024-12-24,Buyout/LBO,Secondary Buyout,Public to Private,1950.0,1950.0,"The company was acquired by Butterfly Equity through a $1.95 billion public-to-private LBO on December 24, 2024. The transaction was supported by an undisclosed amount of debt financing. The acquisition aims to have enhanced resources to build on a strong foundation and to further scale operations.",Completed,Private Equity-Backed,Profitable,Butterfly Equity(Adam Waglay),Beverages,,"The Duckhorn Portfolio Inc produces luxury and ultra-luxury wine across a portfolio of winery brands, including Duckhorn Vineyards, Paraduxx, Goldeneye, Migration, Decoy, Canvasback, Calera, Kosta Browne, Greenwing and Postmark. Its revenue is comprised of wholesale and direct-to-consumer sales. Wholesale revenue is generated through sales directly to California retailers and restaurants, sales to distributors and agents located in other states throughout the United States, and sales to export distributors that sell internationally.","Saint Helena, CA",the duckhorn portfolio,True,False
22608-46T,JDA Software Group,"Blum Strategic Partners IV(Blum Capital Partners), Golden Gate Capital Fund IV(Golden Gate Capital), New Mountain Partners III(New Mountain Capital)",Actual,2012-12-21,Buyout/LBO,Add-on,Public to Private,1900.0,1900.0,"The company (NASDAQ:JDAS) was acquired by Blue Yonder, via its financial sponsor New Mountain Capital, Golden Gate Capital and Blum Capital Partners, through a $1.9 billion public-to-private LBO on December 21, 2012.",Completed,Private Equity-Backed,Profitable,"Blue Yonder (Scottsdale)(Richard Mayoras), Blum Capital Partners, Golden Gate Capital, New Mountain Capital(Alok Singh)",IT Consulting and Outsourcing,SaaS,"Provider of enterprise software services in the Americas, Europe and the Asia Pacific. The company offers demand management, sales and operations planning, network and inventory management, logistics management, and performance management services.","Scottsdale, AZ",jda software group,True,False
114901-48T,Mindbody,"Vista Equity Partners Fund VI(Vista Equity Partners), Vista Equity Partners Fund VII(Vista Equity Partners)",Actual,2019-02-15,Buyout/LBO,Public to Private,,1900.0,1900.0,"The company was acquired by Vista Equity Partners through a $1.9 billion public-to-private LBO on February 15, 2019. With the completion of the acquisition, the company's common stock ceased trading and will no longer be listed on the Nasdaq Stock Market. As part of the transaction, the company received $689.54 million of debt financing in the form of a $475 million term loan, a $143.04 million first-lien senior secured loan, a $58 million revolving line of credit, a $1.81 million senior secured loan, and an $11.69 million one-stop loan from Owl Rock Corporation, Owl Rock Capital Corp II, Golub Capital, Varagon Capital Partners, Monroe Capital Income Plus, Oaktree Strategic Income II, Owl Rock Technology Finance and Monroe Capital.",Completed,Private Equity-Backed,Generating Revenue,Vista Equity Partners(Brian Sheth),Business/Productivity Software,"FinTech, Marketing Tech, SaaS","Developer of business management software intended for fitness and wellness businesses. The company's technology platform allows wellness industry clients to discover and book fitness, beauty and integrative health services and industry-leading software for business growth and management.","San Luis Obispo, CA",mindbody,True,False
