Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear,HP_Category,DealSizeBucket
palletone,2001-10-19,2020-12-28,19.19233401779603,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,48.25,"capital southwest (nas: cswc)(jeff peterson), equus total return incorporated (nys: eqs)(nolan lehmann)",merger/acquisition,,,259.0,ufp industries (nas: ufpi)(matthew missad),2001,2020,Long (>7y),Q2
pentagon technologies,2000-07-18,2020-04-01,19.704312114989733,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,22.0,"antares capital (florida), baird capital, ppm america",merger/acquisition,,,,kurita water industries (tks: 6370),2000,2020,Long (>7y),missing
populus financial group,2006-06-07,2023-03-01,16.73100616016427,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,996.0,"chatham capital, jll partners(michael chang)",merger/acquisition,,,,,2006,2023,Long (>7y),missing
probuild,1997-03-26,2015-07-31,18.34633812457221,SingleEntrySingleExit,buyout/lbo,public to private,,30.16,fidelity equity partners (massachusetts),merger/acquisition,,,1630.0,builders firstsource (nys: bldr)(floyd sherman),1997,2015,Long (>7y),Q4 (large)
r.j. reynolds tobacco,1989-02-28,2014-07-30,25.415468856947296,SingleEntryMultipleExits,buyout/lbo,public to private,,2640.0,kohlberg kravis roberts (nys: kkr)(henry kravis),merger/acquisition,corporate divestiture,,,reynolds american,1989,2014,Long (>7y),missing
r.j. reynolds tobacco,1989-02-28,2015-06-01,26.253251197809718,SingleEntryMultipleExits,buyout/lbo,public to private,,2640.0,kohlberg kravis roberts (nys: kkr)(henry kravis),merger/acquisition,corporate divestiture,,,imperial brands (lon: imb),1989,2015,Long (>7y),missing
rocket mortgage,2002-08-01,2021-09-01,19.085557837097877,SingleEntrySingleExit,buyout/lbo,management buyout,,64.0,camelot venture group,merger/acquisition,,,,,2002,2021,Long (>7y),missing
rosetta stone,2020-10-15,2021-03-17,0.4188911704312115,SingleEntryMultipleExits,buyout/lbo,add-on,public to private,792.0,"cambium learning group(john campbell), veritas capital fund management(ramzi musallam)",merger/acquisition,corporate divestiture,,,ixl learning(paul mishkin),2020,2021,Short (<2y),missing
rubicon holdings,2007-12-20,2008-03-06,0.2108145106091718,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,149.43,allco finance group(david clarke),merger/acquisition,,,,urban american,2007,2008,Short (<2y),missing
scan-optics,2005-08-15,2023-07-01,17.87542778918549,SingleEntrySingleExit,buyout/lbo,public to private,,,patriarch partners(lynn tilton),merger/acquisition,,,,,2005,2023,Long (>7y),missing
shaw communications (texas cable systems),2003-06-30,2019-02-01,15.592060232717317,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,85.0,cequel iii,merger/acquisition,,,,,2003,2019,Long (>7y),missing
sherwin alumina company,2000-12-31,2016-04-25,15.315537303216974,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,"bpu reynolds, meriwether capital",merger/acquisition,corporate divestiture,,95.25,corpus christi alumina,2000,2016,Long (>7y),Q1 (small)
smokey bones,2007-12-01,2023-09-25,15.816563997262149,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,80.0,sun capital partners(anthony polazzi),merger/acquisition,corporate divestiture,,30.0,fat brands (nas: fat)(andrew wiederhorn),2007,2023,Long (>7y),Q1 (small)
southeastern grocers,2005-01-31,2024-03-07,19.096509240246405,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,570.0,lone star funds(len allen),merger/acquisition,,,,aldi(jason hart),2005,2024,Long (>7y),missing
southeastern grocers,2005-01-31,2025-02-07,20.019164955509925,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,570.0,lone star funds(len allen),merger/acquisition,corporate divestiture,,,c&s wholesale grocers(eric winn),2005,2025,Long (>7y),missing
spinnaker coating,2002-03-28,2022-02-01,19.849418206707735,SingleEntryMultipleExits,buyout/lbo,management buyout,,,wr capital partners,merger/acquisition,,,40.0,mactac(ed laforge),2002,2022,Long (>7y),Q1 (small)
srs distribution,2023-12-21,2024-06-18,0.4928131416837782,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,leonard green & partners(jonathan sokoloff),merger/acquisition,,,18028.0,the home depot (nys: hd)(edward decker),2023,2024,Short (<2y),Q4 (large)
systron donner inertial,2019-03-26,2019-06-07,0.1998631074606434,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,70.0,resilience capital partners(steven rosen),merger/acquisition,,,25.0,emcore(jeffrey rittichier),2019,2019,Short (<2y),Q1 (small)
tactical communications group,2001-01-01,2019-03-15,18.198494182067076,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,0.35,gvp global,merger/acquisition,,,50.0,curtiss-wright (nys: cw)(david adams),2001,2019,Long (>7y),Q1 (small)
the terminix international company,2007-07-24,2022-10-12,15.219712525667351,SingleEntryMultipleExits,buyout/lbo,public to private,,5500.0,"clayton, dubilier & rice(david wasserman), jp morgan chase (nys: jpm), norwest equity partners, pnc erieview capital, ridgemont equity partners",merger/acquisition,,,4110.0,rentokil initial (lon: rto)(andrew ransom),2007,2022,Long (>7y),Q4 (large)
the ups store,2000-05-01,2022-04-13,21.949349760438057,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,cave creek capital management,merger/acquisition,corporate divestiture,,,,2000,2022,Long (>7y),missing
tritech software systems,2018-06-22,2018-08-01,0.10951403148528405,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,recapitalization,1100.0,bain capital(ian loring),merger/acquisition,,,,centralsquare technologies(simon angove),2018,2018,Short (<2y),missing
u.s. cast products,2001-01-01,2023-05-01,22.327173169062284,SingleEntrySingleExit,buyout/lbo,public to private,,,the catalyst group (houston),merger/acquisition,,,,,2001,2023,Long (>7y),missing
ultra aluminum manufacturing,2005-01-01,2021-12-27,16.985626283367555,SingleEntrySingleExit,buyout/lbo,,,,private equity capital,merger/acquisition,,,25.0,deckorators(landon tarvin),2005,2021,Long (>7y),Q1 (small)
universal instruments,2006-11-06,2022-07-18,15.696098562628336,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,135.0,"cba group, francisco partners(david ibnale)",merger/acquisition,,,88.9,delta international holding,2006,2022,Long (>7y),Q1 (small)
ust-aldetec group,2004-04-30,2020-03-01,15.835728952772074,SingleEntrySingleExit,buyout/lbo,public to private,,8.0,cornerstone capital holdings,merger/acquisition,,,,,2004,2020,Long (>7y),missing
vca county veterinary hospital,2000-09-20,2017-09-12,16.97741273100616,SingleEntryMultipleExits,buyout/lbo,public to private,recapitalization,525.0,"annex capital, caisse de dépôt et placement du québec, california public employees' retirement system, crescent capital group, federated hermes (nys: fhi), goldman sachs asset management, leonard green & partners(john danhakl), olympus partners, procific, the northwestern mutual life insurance",merger/acquisition,,,9100.0,mars (food products)(poul weihrauch),2000,2017,Long (>7y),Q4 (large)
vermont teddy bear,2005-09-30,2024-04-08,18.521560574948666,SingleEntryMultipleExits,buyout/lbo,public to private,,47.0,"digital fuel capital(carson biederman), freshtracks capital(cairn cross), pine street capital partners, the mustang group(carson biederman)",merger/acquisition,,,,the vermont flannel company(joe deman),2005,2024,Long (>7y),missing
verso paper,2006-08-01,2022-03-31,15.663244353182751,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,1400.0,"apollo asset management (nys: apo)(eric press), avenue capital group",merger/acquisition,,,825.0,billerud (sto: bill)(johann christoph michalski),2006,2022,Long (>7y),Q4 (large)
viasystems group,1996-10-01,2015-05-31,18.661190965092402,SingleEntryMultipleExits,buyout/lbo,public to private,,330.0,"hm capital (thrifts and mortgage finance)(john furst), mills & partners(james mills)",merger/acquisition,,,397.83,ttm technologies (nas: ttmi)(thomas edman),1996,2015,Long (>7y),Q3
victor technologies,1998-06-22,2014-04-14,15.811088295687885,SingleEntrySingleExit,buyout/lbo,public to private,,790.0,,merger/acquisition,,,948.8,enovis (nys: enov)(steve simms),1998,2014,Long (>7y),Q4 (large)
vie securities,2004-11-19,2022-08-01,17.697467488021903,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,15.0,piper sandler (nys: pipr),merger/acquisition,,,,,2004,2022,Long (>7y),missing
village voice,2005-10-24,2020-12-23,15.16495550992471,SingleEntryMultipleExits,buyout/lbo,secondary buyout,add-on,400.0,"alta communications(william egan), voice media group",merger/acquisition,,,,la weekly(brian calle),2005,2020,Long (>7y),missing
warner music group (nas: wmg),2004-02-27,2020-06-03,16.265571526351813,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,2600.0,"bain capital(steven barnes), gf capital management & advisors, jorg mohaupt(jorg mohaupt), lexa partners, providence equity partners(albert dobron), thomas h. lee partners(scott sperling)",ipo,,,1925.0,,2004,2020,Long (>7y),Q4 (large)
warrior met coal (nys: hcc),1987-01-01,2017-04-14,30.28336755646817,SingleEntrySingleExit,buyout/lbo,public to private,,,kohlberg kravis roberts (nys: kkr),ipo,,,316.67,,1987,2017,Long (>7y),Q3
wcfx-fm,2003-08-25,2021-04-08,17.620807665982205,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,3.1,"grenax broadcasting ii(greg dinetz), kansas city equity partners",merger/acquisition,corporate divestiture,,0.5,black diamond broadcasting,2003,2021,Long (>7y),Q1 (small)
wilshire technologies,2003-03-10,2020-01-24,16.876112251882272,SingleEntrySingleExit,buyout/lbo,add-on,,,"trilon dominion partners, wiltec ()",merger/acquisition,corporate divestiture,,21.16,evonik industries (etr: evk),2003,2020,Long (>7y),Q1 (small)
wilsons leather,1987-01-01,2008-07-08,21.516769336071185,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,99.3,,merger/acquisition,public to private,,25.1,g-iii apparel group (nas: giii),1987,2008,Long (>7y),Q1 (small)
world marine,2003-01-31,2019-01-23,15.978097193702943,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,67.0,acon investments(jonathan ginns),merger/acquisition,corporate divestiture,,,modern american recycling services,2003,2019,Long (>7y),missing
wrnr,2006-10-13,2023-02-08,16.32306639288159,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"grotech ventures(stuart frankel), nassau broadcasting partners(louis mercatanti), spectrum equity(brion applegate), spire capital(bruce hernandez)",merger/acquisition,corporate divestiture,,1.5,peter and john radio fellowship(jon bisset),2006,2023,Long (>7y),Q1 (small)
yankee candle,2013-05-23,2013-10-03,0.36413415468856947,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,2000.0,,merger/acquisition,,,67.0,jarden (industrial supplies and parts),2013,2013,Short (<2y),Q1 (small)
zurn industries,2007-02-07,2023-12-16,16.854209445585216,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,1224.5,"apollo asset management (nys: apo)(laurence berg), zurn elkay water solutions (nys: zws)",merger/acquisition,corporate divestiture,,,fara recovery,2007,2023,Long (>7y),missing
